"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Glycogenin",-0.0814433040441602,5.15991404669642,-0.160310500827289,0.873031114845861,0.873031114845861,-4.66127762021309
"MESR6",-0.0891560470355017,4.83054467423591,-0.16026698505218,0.873065282506778,0.873065282506778,-4.66127851506574
"CG5707",0.0620531506541102,4.36741354125391,0.160246359646365,0.873081477220897,0.873081477220897,-4.66127893911909
"OstStt3",-0.0620518019505978,5.62090615344202,-0.160244786799862,0.873082712195159,0.873082712195159,-4.6612789714542
"CG14659",0.0911460238534584,1.42757824724204,0.160244363871136,0.873083044272176,0.873083044272176,-4.66127898014886
"Cdc27",-0.0610822865926441,3.3951015525254,-0.160205415316092,0.873113626165718,0.873113626165718,-4.6612797807631
"CG9149",-0.0447514762416641,4.57553646891384,-0.160204151878412,0.873114618203613,0.873114618203613,-4.66127980673067
"dsd",-0.0801834469390754,2.44348528922022,-0.160199643257408,0.873118158326766,0.873118158326766,-4.66127989939518
"CG2278",0.0612413534926637,1.10025896054853,0.16018464308231,0.87312993632964,0.87312993632964,-4.66128020767112
"RpS13",-0.0539089643525958,9.51683029535889,-0.160120408710436,0.873180372905833,0.873180372905833,-4.66128152745702
"CG42370",0.169470127361785,3.36494507860741,0.160072991269882,0.873217605230469,0.873217605230469,-4.66128250137611
"Tbce",0.0692360186305057,4.06350570085244,0.160013358814037,0.873264429229774,0.873264429229774,-4.66128372577354
"Jra",-0.0759882854101117,6.03175579204379,-0.159995377593921,0.873278548351939,0.873278548351939,-4.66128409488173
"CG12477",0.0551209091156927,1.64649980078807,0.159931859141414,0.873328424317027,0.873328424317027,-4.66128539842046
"CG4797",-0.0570560137063216,4.66436529517492,-0.159884104304106,0.873365922712387,0.873365922712387,-4.66128637811457
"CG4386",-0.0352962089020273,0.619739810450727,-0.159874694049976,0.873373311933701,0.873373311933701,-4.66128657113219
"CG4267",-0.0820718755214442,5.46028662444482,-0.159824331585291,0.873412858282975,0.873412858282975,-4.66128760394464
"Snx16",0.0607802573552747,4.5499310634566,0.159782902936244,0.873445389732663,0.873445389732663,-4.66128845330247
"Prx6005",0.0847738603122812,5.76532589235701,0.159753220799061,0.873468697480458,0.873468697480458,-4.66128906170158
"CG10631",-0.0382345490476728,1.74069718094597,-0.159730586669752,0.873486470890946,0.873486470890946,-4.66128952556078
"CG4793",0.171599637169195,2.12047512792963,0.159661017862644,0.87354110008218,0.87354110008218,-4.66129095087859
