"X","Mechanism","Factor"
"Cpr62Bb","Trans-dominant","Stage"
"CG11865","Trans-dominant","Stage"
"CG30393","Trans-dominant","Stage"
"Tengl1","Trans-dominant","Stage"
"CG14664","Trans-dominant","Stage"
"CG15125","Trans-dominant","Stage"
"CG4404","Trans-dominant","Stage"
"psd","Trans-dominant","Stage"
"CG5755","Trans-dominant","Stage"
"CG15262","Trans-dominant","Stage"
"CG5440","Trans-dominant","Stage"
"CG5177","Trans-dominant","Stage"
"CG46025","Trans-dominant","Stage"
"COX4L","Trans-dominant","Stage"
"CG12831","Trans-dominant","Stage"
"CG9406","Trans-dominant","Stage"
"whip","Trans-dominant","Stage"
"CG14259","Trans-dominant","Stage"
"Cpr78E","Trans-dominant","Stage"
"CG9879","Trans-dominant","Stage"
"CG7848","Trans-dominant","Stage"
"Acyp","Trans-dominant","Stage"
"fd96Cb","Trans-dominant","Stage"
"TpnC41C","Trans-dominant","Stage"
"CG7755","Trans-dominant","Stage"
"TM4SF","Trans-dominant","Stage"
"CG34235","Trans-dominant","Stage"
"Lsp1gamma","Trans-dominant","Stage"
"RacGAP84C","Trans-dominant","Stage"
"neo","Trans-dominant","Stage"
"CG31482","Trans-dominant","Stage"
"CG13326","Trans-dominant","Stage"
"mey","Trans-dominant","Stage"
"CG4988","Trans-dominant","Stage"
"CG4270","Trans-dominant","Stage"
"Tim17b1","Trans-dominant","Stage"
"EbpIII","Trans-dominant","Stage"
"CG11099","Trans-dominant","Stage"
"Cpr65Au","Trans-dominant","Stage"
"CG10064","Trans-dominant","Stage"
"Nckx30C","Trans-dominant","Stage"
"CycB","Trans-dominant","Stage"
"CG33460","Trans-dominant","Stage"
"CG12398","Trans-dominant","Stage"
"CG15657","Trans-dominant","Stage"
"CG7335","Trans-dominant","Stage"
"Rh2","Trans-dominant","Stage"
"spz6","Trans-dominant","Stage"
"schuy","Trans-dominant","Stage"
"CG5024","Trans-dominant","Stage"
"CG15312","Trans-dominant","Stage"
"CG4382","Trans-dominant","Stage"
"CG12902","Trans-dominant","Stage"
"CG15124","Trans-dominant","Stage"
"CG14245","Trans-dominant","Stage"
"CG4983","Trans-dominant","Stage"
"CG3698","Trans-dominant","Stage"
"CG31693","Trans-dominant","Stage"
"CSN1a","Trans-dominant","Stage"
"CG11286","Trans-dominant","Stage"
"CG11634","Trans-dominant","Stage"
"CG8736","Trans-dominant","Stage"
"CG10950","Trans-dominant","Stage"
"bam","Trans-dominant","Stage"
"CG18130","Trans-dominant","Stage"
"CG13998","Trans-dominant","Stage"
"Mst36Fb","Trans-dominant","Stage"
"CG30090","Trans-dominant","Stage"
"E(spl)m5-HLH","Trans-dominant","Stage"
"CG12516","Trans-dominant","Stage"
"CG15605","Trans-dominant","Stage"
"Hk","Trans-dominant","Stage"
"CG13872","Trans-dominant","Stage"
"CG11060","Trans-dominant","Stage"
"CG9090","Trans-dominant","Stage"
"ATPsynCF6L","Trans-dominant","Stage"
"Os-C","Trans-dominant","Stage"
"CG13186","Trans-dominant","Stage"
"CG12347","Trans-dominant","Stage"
"jef","Trans-dominant","Stage"
"CG13405","Trans-dominant","Stage"
"Calx","Trans-dominant","Stage"
"CG15878","Trans-dominant","Stage"
"CG2616","Trans-dominant","Stage"
"CG30075","Trans-dominant","Stage"
"CG33286","Trans-dominant","Stage"
"al","Trans-dominant","Stage"
"CG30324","Trans-dominant","Stage"
"CG3748","Trans-dominant","Stage"
"Lsp1beta","Trans-dominant","Stage"
"CG12783","Trans-dominant","Stage"
"yellow-g2","Trans-dominant","Stage"
"Adgf-E","Trans-dominant","Stage"
"CG14273","Trans-dominant","Stage"
"CRAT","Trans-dominant","Stage"
"CG15153","Trans-dominant","Stage"
"CG17237","Trans-dominant","Stage"
"CG5028","Trans-dominant","Stage"
"a5","Trans-dominant","Stage"
"CG31909","Trans-dominant","Stage"
