"X","Mechanism","Factor"
"CG15233","Trans-dominant","Stage"
"CG8562","Trans-dominant","Stage"
"Ttd14","Trans-dominant","Stage"
"CG13198","Trans-dominant","Stage"
"CG15330","Trans-dominant","Stage"
"CG12200","Trans-dominant","Stage"
"CG14780","Trans-minor","Stage"
"ham","Trans-dominant","Stage"
"CG16947","Trans-dominant","Stage"
"CG11236","Trans-dominant","Stage"
"Wnt4","Trans-dominant","Stage"
"CG12826","Trans-dominant","Stage"
"CG2678","Trans-dominant","Stage"
"RabX5","Trans-minor","Stage"
"SLO2","Trans-dominant","Stage"
"CG12964","Trans-minor","Stage"
"E(spl)m6-BFM","Trans-dominant","Stage"
"CG31099","Trans-dominant","Stage"
"Atg7","Trans-dominant","Stage"
"CG15472","Trans-dominant","Stage"
"inaF-A","Trans-dominant","Stage"
"CG34038","Trans-dominant","Stage"
"RpI135","Trans-dominant","Stage"
"Fife","Trans-dominant","Stage"
"Mhc","Trans-dominant","Stage"
"CG14247","Trans-dominant","Stage"
"CG18599","Trans-minor","Stage"
"lectin-46Ca","Trans-minor","Stage"
"CG42747","Trans-dominant","Stage"
"CG4627","Trans-dominant","Stage"
"iotaTry","Trans-dominant","Stage"
"robl62A","Trans-dominant","Stage"
"Gel","Trans-dominant","Stage"
"Syn2","Trans-dominant","Stage"
"fend","Trans-dominant","Stage"
"CG14971","Trans-dominant","Stage"
"ND-24","Trans-dominant","Stage"
"CG7173","Trans-dominant","Stage"
"Cht2","Trans-dominant","Stage"
"armi","Trans-dominant","Stage"
"SmydA-7","Trans-dominant","Stage"
"CG13392","Trans-dominant","Stage"
"CG33203","Trans-dominant","Stage"
"gammaTub37C","Trans-dominant","Stage"
"Ca-alpha1T","Trans-dominant","Stage"
"vri","Trans-dominant","Stage"
"CG9743","Trans-dominant","Stage"
"CG31204","Trans-dominant","Stage"
"cep290","Trans-minor","Stage"
"CG1236","Trans-dominant","Stage"
"CG15549","Trans-dominant","Stage"
"Pvf2","Trans-dominant","Stage"
"CG43861","Trans-dominant","Stage"
"CG11920","Trans-dominant","Stage"
"CG43321","Trans-dominant","Stage"
"NimB4","Trans-dominant","Stage"
"CG14731","Trans-minor","Stage"
"CG14527","Trans-dominant","Stage"
"CG17562","Trans-dominant","Stage"
"CG17287","Trans-dominant","Stage"
"CG4020","Trans-dominant","Stage"
"CG42700","Trans-dominant","Stage"
"CG7840","Trans-dominant","Stage"
"nopo","Trans-dominant","Stage"
"CG12911","Trans-dominant","Stage"
"polyph","Trans-minor","Stage"
"ptc","Trans-dominant","Stage"
"CG9515","Trans-dominant","Stage"
"HLH54F","Trans-minor","Stage"
"CG11050","Trans-dominant","Stage"
"Dnah3","Trans-minor","Stage"
"tw","Trans-dominant","Stage"
"CG14291","Trans-dominant","Stage"
"Phk-3","Trans-dominant","Stage"
"CG9164","Trans-minor","Stage"
"Syngr","Trans-dominant","Stage"
"ND-30","Trans-dominant","Stage"
"Npl4","Trans-dominant","Stage"
"CG1137","Trans-dominant","Stage"
"CG33223","Trans-dominant","Stage"
"CG9497","Trans-dominant","Stage"
"CG14262","Trans-dominant","Stage"
"CG14591","Trans-dominant","Stage"
"CG11000","Trans-minor","Stage"
"CG10911","Trans-dominant","Stage"
"Act42A","Trans-dominant","Stage"
"SdhB","Trans-dominant","Stage"
"CG11756","Trans-dominant","Stage"
"CG9672","Trans-dominant","Stage"
"CG12535","Trans-dominant","Stage"
"CG6329","Trans-dominant","Stage"
"ey","Trans-minor","Stage"
"RhoGAP100F","Trans-dominant","Stage"
"Twdlalpha","Trans-dominant","Stage"
"CG42342","Trans-dominant","Stage"
"CG1234","Trans-dominant","Stage"
"Antp","Trans-dominant","Stage"
"nAChRbeta1","Trans-dominant","Stage"
"Abd-B","Trans-dominant","Stage"
"CG42537","Trans-dominant","Stage"
"CG3902","Trans-dominant","Stage"
"CG30091","Trans-dominant","Stage"
"CG13771","Trans-dominant","Stage"
"ND-B14.7","Trans-dominant","Stage"
"Ptpmeg2","Trans-dominant","Stage"
"CG4766","Trans-dominant","Stage"
"CG10405","Trans-dominant","Stage"
"CG14100","Trans-dominant","Stage"
"AGBE","Trans-dominant","Stage"
"Rbp9","Trans-dominant","Stage"
"dpr18","Trans-dominant","Stage"
"CG33177","Trans-minor","Stage"
"CG10853","Trans-dominant","Stage"
"CG32237","Trans-minor","Stage"
"CG3700","Trans-dominant","Stage"
"tyf","Trans-dominant","Stage"
"CG5973","Trans-dominant","Stage"
"CG12909","Trans-dominant","Stage"
"CG11155","Trans-dominant","Stage"
"CG4908","Trans-dominant","Stage"
"CG13288","Trans-dominant","Stage"
"CG9961","Trans-dominant","Stage"
"gd","Trans-dominant","Stage"
"CG16986","Trans-dominant","Stage"
"CG11655","Trans-dominant","Stage"
"CG7300","Trans-dominant","Stage"
"CG17147","Trans-dominant","Stage"
"ovo","Trans-dominant","Stage"
"abd-A","Trans-dominant","Stage"
"rgr","Trans-dominant","Stage"
"spag4","Trans-dominant","Stage"
"CG12766","Trans-dominant","Stage"
"C15","Trans-dominant","Stage"
"Cad96Ca","Trans-dominant","Stage"
"CG13868","Trans-dominant","Stage"
"dan","Trans-minor","Stage"
"CG1461","Trans-dominant","Stage"
"CG2010","Trans-dominant","Stage"
"CG9650","Trans-dominant","Stage"
"MYPT-75D","Trans-dominant","Stage"
"CG13148","Trans-dominant","Stage"
"CG42613","Trans-dominant","Stage"
"CG17127","Trans-minor","Stage"
"PH4alphaSG2","Trans-dominant","Stage"
"CG7142","Trans-dominant","Stage"
"CG13551","Trans-dominant","Stage"
"ND-ACP","Trans-dominant","Stage"
"CG4949","Trans-dominant","Stage"
"ND-ASHI","Trans-dominant","Stage"
"CG15208","Trans-dominant","Stage"
"CG33159","Trans-minor","Stage"
"AcCoAS","Trans-dominant","Stage"
"CG15227","Trans-dominant","Stage"
"CG13806","Trans-dominant","Stage"
"CG3347","Trans-dominant","Stage"
"Fas3","Trans-dominant","Stage"
"ND-39","Trans-dominant","Stage"
"CG13131","Trans-dominant","Stage"
"Tom40","Trans-dominant","Stage"
"GstE14","Trans-dominant","Stage"
"CG30058","Trans-dominant","Stage"
"CG9940","Trans-dominant","Stage"
"mtDNA-helicase","Trans-dominant","Stage"
"grim","Trans-dominant","Stage"
"CG13203","Trans-dominant","Stage"
"Galphaq","Trans-dominant","Stage"
"CG11180","Trans-dominant","Stage"
"sif","Trans-dominant","Stage"
"ND-B15","Trans-dominant","Stage"
"CG12923","Trans-dominant","Stage"
"CG2875","Trans-dominant","Stage"
"MESR6","Trans-dominant","Stage"
"Sply","Trans-dominant","Stage"
"Rab9Db","Trans-dominant","Stage"
"ND-20","Trans-dominant","Stage"
"Prx3","Trans-dominant","Stage"
"salr","Trans-dominant","Stage"
"CG11629","Trans-dominant","Stage"
"CG8596","Trans-dominant","Stage"
"CG3223","Trans-dominant","Stage"
"bora","Trans-dominant","Stage"
"CG42823","Trans-dominant","Stage"
"CG14659","Trans-dominant","Stage"
"unc-5","Trans-dominant","Stage"
"Sod2","Trans-dominant","Stage"
"Zasp52","Trans-dominant","Stage"
"CG32241","Trans-dominant","Stage"
"tfc","Trans-dominant","Stage"
"CG16984","Trans-dominant","Stage"
"Hr4","Trans-dominant","Stage"
"CG11980","Trans-dominant","Stage"
"Osi8","Trans-dominant","Stage"
"Pcp","Trans-dominant","Stage"
"Cyt-c-p","Trans-dominant","Stage"
"Ac3","Trans-dominant","Stage"
"CG13692","Trans-dominant","Stage"
"CG31279","Trans-dominant","Stage"
"CG18367","Trans-dominant","Stage"
"CG5693","Trans-dominant","Stage"
"CG5162","Trans-dominant","Stage"
"PPO2","Trans-dominant","Stage"
"CG6073","Trans-dominant","Stage"
"CG15269","Trans-dominant","Stage"
"scb","Trans-dominant","Stage"
"CG3430","Trans-dominant","Stage"
"CG15080","Trans-dominant","Stage"
"CG12206","Trans-dominant","Stage"
"spidey","Trans-dominant","Stage"
"stc","Trans-dominant","Stage"
"Proc-R","Trans-dominant","Stage"
"l(1)1Bi","Trans-dominant","Stage"
"CG14346","Trans-dominant","Stage"
"bsf","Trans-dominant","Stage"
"Karl","Trans-dominant","Stage"
"CG12716","Trans-dominant","Stage"
"CG13005","Trans-dominant","Stage"
"gsb-n","Trans-minor","Stage"
"CG17648","Trans-dominant","Stage"
"Best2","Trans-dominant","Stage"
"CG5549","Trans-dominant","Stage"
"CG14495","Trans-dominant","Stage"
"CG4096","Trans-dominant","Stage"
"Elba3","Trans-dominant","Stage"
"wal","Trans-minor","Stage"
"Smvt","Trans-dominant","Stage"
"fj","Trans-dominant","Stage"
"CG7384","Trans-dominant","Stage"
"yem","Trans-dominant","Stage"
"CG17896","Trans-dominant","Stage"
"slbo","Trans-dominant","Stage"
"Hydr1","Trans-dominant","Stage"
"AstCC","Trans-dominant","Stage"
"ATPsynG","Trans-dominant","Stage"
"Nlg3","Trans-minor","Stage"
"CG34433","Trans-dominant","Stage"
"CG15543","Trans-dominant","Stage"
"MFS3","Trans-dominant","Stage"
"sano","Trans-dominant","Stage"
"Gli","Trans-dominant","Stage"
"dila","Trans-minor","Stage"
"CG7798","Trans-dominant","Stage"
"CG30427","Trans-dominant","Stage"
"CG18585","Trans-dominant","Stage"
"He","Trans-dominant","Stage"
"Teh3","Trans-dominant","Stage"
"CG42817","Trans-dominant","Stage"
"CG9541","Trans-minor","Stage"
"Ca-beta","Trans-dominant","Stage"
"CG8093","Trans-dominant","Stage"
"Tob","Trans-dominant","Stage"
"Nna1","Trans-dominant","Stage"
"SmydA-6","Trans-dominant","Stage"
"CG5402","Trans-dominant","Stage"
"ATPsyndelta","Trans-dominant","Stage"
"CG43136","Trans-dominant","Stage"
"CG3788","Trans-dominant","Stage"
"CG3812","Trans-dominant","Stage"
"G6P","Trans-dominant","Stage"
"Zip42C.2","Trans-dominant","Stage"
"zen","Trans-minor","Stage"
"Ssdp","Trans-dominant","Stage"
"CG33791","Trans-dominant","Stage"
"Oli","Trans-dominant","Stage"
"CG2767","Trans-dominant","Stage"
"Rx","Trans-minor","Stage"
"CG6048","Trans-dominant","Stage"
"LpR2","Trans-dominant","Stage"
"bw","Trans-dominant","Stage"
"CG6154","Trans-minor","Stage"
"cal1","Trans-dominant","Stage"
"Chd3","Trans-dominant","Stage"
"Cpr50Cb","Trans-dominant","Stage"
"CG18558","Trans-dominant","Stage"
"CG12974","Trans-dominant","Stage"
"CG6836","Trans-dominant","Stage"
"CG43902","Trans-minor","Stage"
"CG11475","Trans-dominant","Stage"
"CG4433","Trans-dominant","Stage"
"krz","Trans-dominant","Stage"
"CG30187","Trans-dominant","Stage"
"CG11077","Trans-dominant","Stage"
"CG11836","Trans-dominant","Stage"
"CG8673","Trans-dominant","Stage"
"CG13894","Trans-minor","Stage"
"CG11257","Trans-dominant","Stage"
"CG11345","Trans-dominant","Stage"
"CG14770","Trans-dominant","Stage"
"Sidpn","Trans-dominant","Stage"
"CG11816","Trans-dominant","Stage"
"prage","Trans-dominant","Stage"
"CG13887","Trans-dominant","Stage"
"CG5955","Trans-dominant","Stage"
"CG14050","Trans-dominant","Stage"
"COX5B","Trans-dominant","Stage"
"Gyc76C","Trans-dominant","Stage"
"in","Trans-dominant","Stage"
"yellow-c","Trans-dominant","Stage"
"Hrs","Trans-dominant","Stage"
"CG31974","Trans-dominant","Stage"
"CG13743","Trans-dominant","Stage"
"ND-19","Trans-dominant","Stage"
"CG2201","Trans-dominant","Stage"
"CG3267","Trans-dominant","Stage"
"CG14506","Trans-minor","Stage"
"ox","Trans-dominant","Stage"
"Pxd","Trans-dominant","Stage"
"temp","Trans-dominant","Stage"
"elav","Trans-minor","Stage"
"Tbh","Trans-minor","Stage"
"CG15263","Trans-dominant","Stage"
"RpI1","Trans-dominant","Stage"
"squ","Trans-dominant","Stage"
"CG7785","Trans-dominant","Stage"
"CG7708","Trans-dominant","Stage"
"CG30345","Trans-dominant","Stage"
"metro","Trans-dominant","Stage"
"Treh","Trans-dominant","Stage"
"CG9510","Trans-dominant","Stage"
"wapl","Trans-dominant","Stage"
"Cyp6w1","Trans-dominant","Stage"
"CG1124","Trans-dominant","Stage"
"CG34351","Trans-minor","Stage"
"AhcyL2","Trans-dominant","Stage"
"mod","Trans-dominant","Stage"
"cib","Trans-dominant","Stage"
"CG6978","Trans-minor","Stage"
"CG4587","Trans-dominant","Stage"
"wtrw","Trans-dominant","Stage"
"rtv","Trans-dominant","Stage"
"CG13082","Trans-dominant","Stage"
"CG15754","Trans-dominant","Stage"
"CG12105","Trans-dominant","Stage"
"Spn42Dc","Trans-dominant","Stage"
"CG17683","Trans-minor","Stage"
"lft","Trans-dominant","Stage"
"CG17261","Trans-dominant","Stage"
"TyrRS-m","Trans-dominant","Stage"
"Sp1","Trans-dominant","Stage"
"CG10560","Trans-dominant","Stage"
"mRpL23","Trans-dominant","Stage"
"CG9143","Trans-dominant","Stage"
"PGRP-SC1a","Trans-dominant","Stage"
"CG31636","Trans-dominant","Stage"
"Myc","Trans-dominant","Stage"
"Gr5a","Trans-dominant","Stage"
"rst","Trans-dominant","Stage"
"CG13538","Trans-dominant","Stage"
"Txl","Trans-dominant","Stage"
"CG6508","Trans-dominant","Stage"
"CG7968","Trans-dominant","Stage"
"CG14610","Trans-dominant","Stage"
"CG11294","Trans-dominant","Stage"
"CG31266","Trans-dominant","Stage"
"rpr","Trans-dominant","Stage"
"slp1","Trans-dominant","Stage"
"CG18171","Trans-dominant","Stage"
"CG4302","Trans-dominant","Stage"
"CG13427","Trans-dominant","Stage"
"CG33673","Trans-dominant","Stage"
"SA-2","Trans-minor","Stage"
"CG15239","Trans-dominant","Stage"
"CG13217","Trans-dominant","Stage"
"CG4822","Trans-dominant","Stage"
"CG10479","Trans-dominant","Stage"
"CG30457","Trans-dominant","Stage"
"ATPsynF","Trans-dominant","Stage"
"CG13097","Trans-dominant","Stage"
"Dpy-30L2","Trans-dominant","Stage"
"Eaat1","Trans-dominant","Stage"
"QC","Trans-dominant","Stage"
"su(r)","Trans-dominant","Stage"
"TwdlE","Trans-dominant","Stage"
"r","Trans-dominant","Stage"
"Ptp52F","Trans-dominant","Stage"
"mRpS16","Trans-dominant","Stage"
"CG9657","Trans-dominant","Stage"
"ND-PDSW","Trans-dominant","Stage"
"CG30344","Trans-dominant","Stage"
"Rcc1","Trans-dominant","Stage"
"kz","Trans-dominant","Stage"
"cer","Trans-dominant","Stage"
"fz2","Trans-dominant","Stage"
"CG15202","Trans-dominant","Stage"
"Or22a","Trans-minor","Stage"
"CG14186","Trans-dominant","Stage"
"Efr","Trans-dominant","Stage"
"CG31663","Trans-dominant","Stage"
"CG8520","Trans-dominant","Stage"
"CG12692","Trans-dominant","Stage"
"CG15036","Trans-dominant","Stage"
"CG18598","Trans-dominant","Stage"
"CG31089","Trans-dominant","Stage"
"ND-B17.2","Trans-dominant","Stage"
"Sid","Trans-dominant","Stage"
"stl","Trans-dominant","Stage"
"Alp4","Trans-dominant","Stage"
"CG12896","Trans-dominant","Stage"
"Reph","Trans-dominant","Stage"
"CG31740","Trans-dominant","Stage"
"Orc1","Trans-dominant","Stage"
"Fur2","Trans-dominant","Stage"
"levy","Trans-dominant","Stage"
"Spn42Da","Trans-minor","Stage"
"pes","Trans-dominant","Stage"
"CG3775","Trans-dominant","Stage"
"CG14566","Trans-dominant","Stage"
"CG32225","Trans-dominant","Stage"
"CG42249","Trans-dominant","Stage"
"CG4951","Trans-dominant","Stage"
"CG8475","Trans-dominant","Stage"
"CG14455","Trans-minor","Stage"
"CG9733","Trans-dominant","Stage"
"crm","Trans-dominant","Stage"
"CG14302","Trans-dominant","Stage"
"CG14628","Trans-dominant","Stage"
"Cyt-b5-r","Trans-dominant","Stage"
"l(3)02640","Trans-dominant","Stage"
"CG8586","Trans-dominant","Stage"
"Mctp","Trans-dominant","Stage"
"CG13137","Trans-dominant","Stage"
"CG3376","Trans-dominant","Stage"
"CG43325","Trans-dominant","Stage"
"Caf1-180","Trans-dominant","Stage"
"CG18258","Trans-dominant","Stage"
"CG32812","Trans-dominant","Stage"
"lbm","Trans-dominant","Stage"
"CG13223","Trans-minor","Stage"
"CG4806","Trans-dominant","Stage"
"Cpr57A","Trans-dominant","Stage"
"dy","Trans-minor","Stage"
"CG32801","Trans-dominant","Stage"
"betaNACtes6","Trans-dominant","Stage"
"NimC1","Trans-dominant","Stage"
"hui","Trans-dominant","Stage"
"CG4318","Trans-dominant","Stage"
"fne","Trans-dominant","Stage"
"verm","Trans-dominant","Stage"
"CG4409","Trans-dominant","Stage"
"B-H2","Trans-dominant","Stage"
"mahe","Trans-dominant","Stage"
"CG42813","Trans-dominant","Stage"
"CG34184","Trans-minor","Stage"
"CG8419","Trans-dominant","Stage"
"Tbp","Trans-dominant","Stage"
"CG5890","Trans-dominant","Stage"
"Syt12","Trans-minor","Stage"
"CG17707","Trans-minor","Stage"
"CG12991","Trans-dominant","Stage"
"tll","Trans-dominant","Stage"
"Lkr","Trans-minor","Stage"
"CG32982","Trans-dominant","Stage"
"CG30394","Trans-dominant","Stage"
"CG11474","Trans-dominant","Stage"
"CG10804","Trans-dominant","Stage"
"inaF-B","Trans-dominant","Stage"
"Nsun2","Trans-dominant","Stage"
"CG31751","Trans-dominant","Stage"
"CG11380","Trans-dominant","Stage"
"CG11617","Trans-dominant","Stage"
"CG18600","Trans-dominant","Stage"
"CG7920","Trans-dominant","Stage"
"CG32344","Trans-dominant","Stage"
"CG9689","Trans-dominant","Stage"
"CG13658","Trans-dominant","Stage"
"ebd1","Trans-dominant","Stage"
"ko","Trans-dominant","Stage"
"Cht9","Trans-dominant","Stage"
"Idgf3","Trans-dominant","Stage"
"bin3","Trans-dominant","Stage"
"CG5204","Trans-minor","Stage"
"Hey","Trans-minor","Stage"
"CG10494","Trans-dominant","Stage"
"E(spl)mbeta-HLH","Trans-dominant","Stage"
"Cht4","Trans-dominant","Stage"
"CG18268","Trans-dominant","Stage"
"CG31815","Trans-dominant","Stage"
"CG14509","Trans-dominant","Stage"
"LeuRS","Trans-dominant","Stage"
"CG7691","Trans-dominant","Stage"
"CG8611","Trans-dominant","Stage"
"CG12590","Trans-minor","Stage"
"PGRP-SD","Trans-dominant","Stage"
"ine","Trans-dominant","Stage"
"CG11752","Trans-dominant","Stage"
"Dsk","Trans-dominant","Stage"
"MRP","Trans-dominant","Stage"
"gsb","Trans-minor","Stage"
"CG10737","Trans-dominant","Stage"
"ETHR","Trans-dominant","Stage"
"CG5863","Trans-minor","Stage"
"CG10505","Trans-dominant","Stage"
"Claspin","Trans-dominant","Stage"
"CG16704","Trans-dominant","Stage"
"Tengl2","Trans-dominant","Stage"
"dtn","Trans-dominant","Stage"
"CG18472","Trans-dominant","Stage"
"Kif3C","Trans-dominant","Stage"
"CG31778","Trans-dominant","Stage"
"CG7639","Trans-dominant","Stage"
"CG8407","Trans-dominant","Stage"
"CG31805","Trans-dominant","Stage"
"DIP-zeta","Trans-minor","Stage"
"mahj","Trans-dominant","Stage"
"prtp","Trans-dominant","Stage"
"CG7881","Trans-dominant","Stage"
"CG5458","Trans-dominant","Stage"
"CG7102","Trans-dominant","Stage"
"CG4679","Trans-dominant","Stage"
"Nplp1","Trans-dominant","Stage"
"CG33306","Trans-dominant","Stage"
"Kul","Trans-dominant","Stage"
"CG8851","Trans-dominant","Stage"
"CG34284","Trans-dominant","Stage"
"CG10958","Trans-dominant","Stage"
"Duox","Trans-dominant","Stage"
"CG11596","Trans-dominant","Stage"
"CG32988","Trans-dominant","Stage"
"IM33","Trans-dominant","Stage"
"CG11837","Trans-dominant","Stage"
"Snx1","Trans-dominant","Stage"
"CG42615","Trans-dominant","Stage"
"CG2199","Trans-dominant","Stage"
"CG5323","Trans-dominant","Stage"
"gwl","Trans-dominant","Stage"
"gcl","Trans-dominant","Stage"
"Drep1","Trans-dominant","Stage"
"Reg-5","Trans-dominant","Stage"
"CG9150","Trans-dominant","Stage"
"CG31551","Trans-minor","Stage"
"miple2","Trans-dominant","Stage"
"l(1)G0045","Trans-dominant","Stage"
"TpnC25D","Trans-dominant","Stage"
"cato","Trans-minor","Stage"
"stil","Trans-dominant","Stage"
"Npc2c","Trans-dominant","Stage"
"Rab9","Trans-dominant","Stage"
"roh","Trans-dominant","Stage"
"CG14893","Trans-dominant","Stage"
"TwdlL","Trans-minor","Stage"
"Cpr11A","Trans-dominant","Stage"
"RnrL","Trans-dominant","Stage"
"CG17169","Trans-dominant","Stage"
"nAChRalpha5","Trans-minor","Stage"
"cathD","Trans-dominant","Stage"
"CG5285","Trans-dominant","Stage"
"CG8654","Trans-dominant","Stage"
"CG13748","Trans-dominant","Stage"
"CG8064","Trans-dominant","Stage"
"CG18213","Trans-dominant","Stage"
"CG13558","Trans-dominant","Stage"
"Nurf-38","Trans-dominant","Stage"
"CG11192","Trans-dominant","Stage"
"CG9231","Trans-dominant","Stage"
"CG15630","Trans-dominant","Stage"
"Osi14","Trans-minor","Stage"
"CG17906","Trans-dominant","Stage"
"Tet","Trans-dominant","Stage"
"PVRAP","Trans-minor","Stage"
"slmo","Trans-dominant","Stage"
"wry","Trans-minor","Stage"
"CG3264","Trans-dominant","Stage"
"AstA-R2","Trans-dominant","Stage"
"futsch","Trans-minor","Stage"
"l(1)G0196","Trans-dominant","Stage"
"CG32313","Trans-dominant","Stage"
"GNBP1","Trans-dominant","Stage"
"Rs1","Trans-dominant","Stage"
"CG7702","Trans-dominant","Stage"
"CG32320","Trans-minor","Stage"
"Gnf1","Trans-dominant","Stage"
"CG8939","Trans-dominant","Stage"
"Lrpprc2","Trans-dominant","Stage"
"CG34393","Trans-minor","Stage"
"Eip55E","Trans-dominant","Stage"
"ZnT35C","Trans-dominant","Stage"
"CG5002","Trans-dominant","Stage"
"CG8414","Trans-dominant","Stage"
"EndoGI","Trans-dominant","Stage"
"ZnT63C","Trans-minor","Stage"
"CG43102","Trans-dominant","Stage"
"Ets65A","Trans-minor","Stage"
"Cpr49Ag","Trans-dominant","Stage"
"CG3513","Trans-dominant","Stage"
"Ice1","Trans-dominant","Stage"
"net","Trans-dominant","Stage"
"lectin-37Db","Trans-dominant","Stage"
"Ctf4","Trans-dominant","Stage"
"ND-B16.6","Trans-dominant","Stage"
"Lcp65Ab2","Trans-dominant","Stage"
"CG13594","Trans-minor","Stage"
"Lrt","Trans-dominant","Stage"
"CG18673","Trans-dominant","Stage"
"plx","Trans-dominant","Stage"
"CG30428","Trans-dominant","Stage"
"CG15221","Trans-dominant","Stage"
"Tsp47F","Trans-dominant","Stage"
"l(3)07882","Trans-dominant","Stage"
"Oat","Trans-dominant","Stage"
"CG8485","Trans-dominant","Stage"
"eater","Trans-dominant","Stage"
"CG2887","Trans-dominant","Stage"
"Miga","Trans-dominant","Stage"
"Ir76b","Trans-minor","Stage"
"lbl","Trans-dominant","Stage"
"Tom20","Trans-dominant","Stage"
"CG14834","Trans-dominant","Stage"
"CG34026","Trans-dominant","Stage"
"CG14615","Trans-dominant","Stage"
"CG9993","Trans-dominant","Stage"
"ex","Trans-dominant","Stage"
"Traf4","Trans-minor","Stage"
"Spp","Trans-minor","Stage"
"Eno","Trans-dominant","Stage"
"Pof","Trans-dominant","Stage"
"CG3777","Trans-dominant","Stage"
"PhKgamma","Trans-dominant","Stage"
"hubl","Trans-minor","Stage"
"CG34291","Trans-dominant","Stage"
"CG31807","Trans-dominant","Stage"
"Rh50","Trans-dominant","Stage"
"CG18095","Trans-dominant","Stage"
"Osi1","Trans-minor","Stage"
"CG30440","Trans-dominant","Stage"
"CG5687","Trans-dominant","Stage"
"CG15390","Trans-dominant","Stage"
"CG15169","Trans-dominant","Stage"
"Set2","Trans-dominant","Stage"
"CG4563","Trans-dominant","Stage"
"Or9a","Trans-minor","Stage"
"CG14406","Trans-dominant","Stage"
"CG32845","Trans-dominant","Stage"
"CG12177","Trans-dominant","Stage"
"Ance","Trans-dominant","Stage"
"CG1103","Trans-dominant","Stage"
"CG7025","Trans-dominant","Stage"
"CycE","Trans-dominant","Stage"
"mei-P26","Trans-dominant","Stage"
"CG12682","Trans-dominant","Stage"
"CG43366","Trans-minor","Stage"
"CG9812","Trans-dominant","Stage"
"CG15706","Trans-dominant","Stage"
"CG40813","Trans-dominant","Stage"
"CG14607","Trans-dominant","Stage"
"l(2)09851","Trans-dominant","Stage"
"CG17802","Trans-dominant","Stage"
"CG4960","Trans-dominant","Stage"
"CtsB1","Trans-dominant","Stage"
"CG31235","Trans-dominant","Stage"
"CG8321","Trans-dominant","Stage"
"CG15546","Trans-dominant","Stage"
"CG10384","Trans-minor","Stage"
"Mcm6","Trans-dominant","Stage"
"CG10341","Trans-dominant","Stage"
"wcd","Trans-dominant","Stage"
"l(2)k10201","Trans-dominant","Stage"
"dany","Trans-minor","Stage"
"CG30158","Trans-minor","Stage"
"nSyb","Trans-dominant","Stage"
"P5cr-2","Trans-dominant","Stage"
"CG32409","Trans-dominant","Stage"
"CG14072","Trans-dominant","Stage"
"Sfp53D","Trans-dominant","Stage"
"otp","Trans-minor","Stage"
"MsR1","Trans-dominant","Stage"
"Usp10","Trans-dominant","Stage"
"Shawl","Trans-minor","Stage"
"CG14102","Trans-dominant","Stage"
"CG10996","Trans-dominant","Stage"
"edl","Trans-dominant","Stage"
"CG1542","Trans-dominant","Stage"
"CG2993","Trans-dominant","Stage"
"CG15096","Trans-dominant","Stage"
"halo","Trans-minor","Stage"
"l(1)sc","Trans-minor","Stage"
"Ag5r2","Trans-dominant","Stage"
"CG30037","Trans-minor","Stage"
"CG33557","Trans-minor","Stage"
"CG31731","Trans-dominant","Stage"
"CG11583","Trans-dominant","Stage"
"CG11584","Trans-minor","Stage"
"CG11880","Trans-dominant","Stage"
"CG12325","Trans-dominant","Stage"
"CG15892","Trans-dominant","Stage"
"CG15649","Trans-dominant","Stage"
"Pburs","Trans-dominant","Stage"
"Atg9","Trans-dominant","Stage"
"CG9300","Trans-dominant","Stage"
"melt","Trans-dominant","Stage"
"CG13133","Trans-dominant","Stage"
"CG18870","Trans-dominant","Stage"
"CG34056","Trans-dominant","Stage"
"G9a","Trans-dominant","Stage"
"CG17829","Trans-dominant","Stage"
"CG31975","Trans-dominant","Stage"
"dmrt99B","Trans-dominant","Stage"
"NetB","Trans-dominant","Stage"
"CG2217","Trans-dominant","Stage"
"SP555","Trans-dominant","Stage"
"fd64A","Trans-dominant","Stage"
"robo1","Trans-dominant","Stage"
"CG1638","Trans-dominant","Stage"
"CG1090","Trans-dominant","Stage"
"CG10000","Trans-dominant","Stage"
"CG10463","Trans-dominant","Stage"
"cola","Trans-minor","Stage"
"Vha44","Trans-dominant","Stage"
"scw","Trans-minor","Stage"
"CG4497","Trans-dominant","Stage"
"CG1239","Trans-dominant","Stage"
"CG9962","Trans-minor","Stage"
"Ahcy","Trans-dominant","Stage"
"GstE10","Trans-dominant","Stage"
"CG4259","Trans-dominant","Stage"
"CG6324","Trans-dominant","Stage"
"yuri","Trans-minor","Stage"
"Grip71","Trans-dominant","Stage"
"CG31643","Trans-dominant","Stage"
"CG10592","Trans-dominant","Stage"
"CG18469","Trans-dominant","Stage"
"CG30116","Trans-dominant","Stage"
"CG14317","Trans-dominant","Stage"
"CG30495","Trans-dominant","Stage"
"porin","Trans-dominant","Stage"
"CG14606","Trans-dominant","Stage"
"dsb","Trans-dominant","Stage"
"spz3","Trans-dominant","Stage"
"dup","Trans-dominant","Stage"
"CG5707","Trans-dominant","Stage"
"CG7329","Trans-dominant","Stage"
"stas","Trans-dominant","Stage"
"DNA-ligI","Trans-dominant","Stage"
"GABA-B-R1","Trans-minor","Stage"
"CG11221","Trans-dominant","Stage"
"egr","Trans-dominant","Stage"
"tara","Trans-dominant","Stage"
"CG13160","Trans-dominant","Stage"
"CG9698","Trans-minor","Stage"
