"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ebi",-0.537346090492767,3.24643858693573,-1.62116234023369,0.108825657060236,0.108825657060236,-6.01792479896039
"CadN",0.427279780190531,1.39552021211302,1.62032186979101,0.109006305539102,0.109006305539102,-6.01925486832084
"CG44774",-0.612981647092804,3.46225465165823,-1.62011082695887,0.10905170444063,0.10905170444063,-6.0195887482693
"CG15020",-0.0898915398137491,0.0476344443701505,-1.61832879645646,0.109435656941202,0.109435656941202,-6.02240638055953
"bs",-0.615084763346032,2.28247182206098,-1.61773989820866,0.109562778706267,0.109562778706267,-6.0233368694159
"Raf",-0.57493294619519,2.47801801027177,-1.61769606325587,0.109572245833687,0.109572245833687,-6.02340611814636
"dve",0.594957876792271,1.57846968085427,1.61745455092255,0.109624417572461,0.109624417572461,-6.02378761825348
"CG44088",0.527821022529255,0.247186024174999,1.61696071624821,0.109731158484478,0.109731158484478,-6.02456752798878
"CG10132",-0.538103078767455,2.31450739904168,-1.61642173796557,0.109847752512931,0.109847752512931,-6.02541847779453
"Etf-QO",-0.7855943217862,5.70957764476566,-1.61602219667799,0.109934247282546,0.109934247282546,-6.026049109925
"CG2736",0.553907241670391,5.18838384327222,1.61463347801452,0.110235310695125,0.110235310695125,-6.02823991269517
"CG2794",-0.560671572705548,2.98860413606907,-1.61420982885958,0.11032728646864,0.11032728646864,-6.02890789776467
"CG15107",-0.701546560529715,3.14381558174868,-1.61359973190807,0.110459849193417,0.110459849193417,-6.02986957383783
"Nprl2",-0.601336719083484,2.59949007634273,-1.61334711415476,0.110514775828313,0.110514775828313,-6.0302676671825
"CG7357",-0.699240547347606,4.14919209239355,-1.61334293782341,0.110515684071882,0.110515684071882,-6.03027424805648
"CG5872",0.84853292731617,2.2893365327809,1.61259367275215,0.110678726940827,0.110678726940827,-6.03145464741165
"CG4186",-1.11861732434761,5.88270462070782,-1.61249819965971,0.110699516128708,0.110699516128708,-6.0316050196828
"CG34417",1.24370837660223,4.28903548082723,1.61216453443921,0.110772196123984,0.110772196123984,-6.03213048431324
"mthl3",0.903163436907414,3.01784868829543,1.60834467504748,0.111606986743868,0.111606986743868,-6.03813882699751
"Sara",0.620689681405266,4.34934675475877,1.60815962911179,0.111647554640298,0.111647554640298,-6.03842955023294
"CG12338",0.743331979935898,6.45300862346584,1.60764101077442,0.111761315250838,0.111761315250838,-6.03924417738588
"Vps28",0.838017080262149,5.20939259510705,1.60737157682278,0.111820453207874,0.111820453207874,-6.03966729726924
"Dfd",-0.285195801731448,0.523512059535561,-1.60686252350035,0.111932253746872,0.111932253746872,-6.04046653444259
"Vps37B",0.671099236262364,5.33869953371882,1.60649936669044,0.112012066713809,0.112012066713809,-6.04103656214302
"Alg-2",0.458802661880967,6.90826272235314,1.60617109902062,0.112084251232483,0.112084251232483,-6.04155172216915
"CG12869",-0.363690554115707,0.301946270715165,-1.60544938932246,0.112243083174198,0.112243083174198,-6.04268397477538
"Cpr47Ed",-0.190195086461851,0.0924727204599928,-1.60484121328725,0.112377069222525,0.112377069222525,-6.04363773946635
"CG34459",0.661116284240838,1.29816902818966,1.60477407324876,0.112391868578622,0.112391868578622,-6.04374301022464
"CG7789",-0.429355354421609,5.30439939441092,-1.60433224269405,0.112489298203821,0.112489298203821,-6.04443566567057
"gb",0.665606086456457,4.45237861450665,1.60409063930109,0.112542603698151,0.112542603698151,-6.04481435031633
"dre4",-0.561056878603456,4.29931776561731,-1.60379402979133,0.112608073043564,0.112608073043564,-6.0452791773055
"S6k",-0.555167948863543,3.5376466089546,-1.60250201978769,0.112893609606182,0.112893609606182,-6.04730298929752
"CG8786",0.431717300058245,3.78328231042898,1.60077081938589,0.113277118690367,0.113277118690367,-6.05001235078554
"Dcp-1",-0.784311989378794,3.70597097168258,-1.60018036353713,0.113408159898474,0.113408159898474,-6.05093579646227
"CG10932",-0.911711133460624,7.56376895587481,-1.59948483860525,0.113562675291403,0.113562675291403,-6.05202315492252
"tacc",-0.545646498576312,4.47956909951022,-1.59886453553671,0.113700622071604,0.113700622071604,-6.0529925397025
"Lpt",-0.457223297047445,2.48950371029619,-1.59861743164886,0.113755611958986,0.113755611958986,-6.05337860539404
"Cdk4",-1.58832410241806,4.49470571282871,-1.59762423438263,0.11397685079812,0.11397685079812,-6.05492977357159
"Scox",-0.786942545038722,6.16316464471423,-1.59725500439088,0.114059186238358,0.114059186238358,-6.05550620336794
"CG9921",-1.39511352628368,5.45944918878751,-1.59454202900926,0.114665622179869,0.114665622179869,-6.05973777335203
"Kah",0.68558797150605,1.77736753443191,1.59300682689644,0.115009931533484,0.115009931533484,-6.06212931425294
"Zfrp8",-0.593304779016472,4.15374641665665,-1.59226528018266,0.115176539224232,0.115176539224232,-6.06328372189344
"CG7544",-0.862671593494288,3.36670600015014,-1.59165491394608,0.115313818813504,0.115313818813504,-6.06423353450724
"ImpL2",0.66849569113851,5.07258946131088,1.59163314332648,0.115318717738403,0.115318717738403,-6.06426740622207
"Atg14",0.56241452194366,2.88656959998633,1.59141946455589,0.115366809564275,0.115366809564275,-6.06459983421173
"CG11839",-0.758831915528321,5.26634261392874,-1.59136412370591,0.115379267526067,0.115379267526067,-6.06468592318672
"AnxB9",0.596243174302018,7.70753667879509,1.59104397798718,0.11545135773172,0.11545135773172,-6.06518389098291
"CG32486",-0.58795069137233,3.14484513386933,-1.5903908156441,0.115598548261484,0.115598548261484,-6.06619955449391
"Lgr1",-0.759365095936146,1.88026471372157,-1.58981752845259,0.11572786265108,0.11572786265108,-6.06709068963913
"Pvr",0.529734548390933,3.18826387488027,1.58932131456372,0.115839885360585,0.115839885360585,-6.06786177588133
"CG5500",-0.883326304281014,4.91018234499985,-1.58761277556128,0.11622626047042,0.11622626047042,-6.07051501100948
"CG12343",0.621683383838348,3.56417920270184,1.58652795771795,0.116472119838927,0.116472119838927,-6.07219826071694
"Toll-9",-0.485826219557091,0.849716488319207,-1.5853643752657,0.116736292445333,0.116736292445333,-6.0740025226102
"CG10376",-0.668509956553707,3.37460564824489,-1.58444725150302,0.116944848132008,0.116944848132008,-6.07542374623898
"CG3711",-0.441999642743611,2.12409216840132,-1.58440144863431,0.11695527159827,0.11695527159827,-6.07549470452012
"CG4781",0.660083748263626,2.92288196145189,1.5843270487201,0.116972204544762,0.116972204544762,-6.07560996153086
"tipE",-0.490552246266285,1.17812141874385,-1.58209927188727,0.117480141168338,0.117480141168338,-6.07905877565968
"mge",-0.99379946378171,4.8525758870809,-1.58113732795436,0.117700010174062,0.117700010174062,-6.08054654717437
"MEP-1",-0.49844706959626,3.59642894525842,-1.58045859431,0.117855344322826,0.117855344322826,-6.08159578502134
"dnc",-0.775734221023922,3.09382385106874,-1.57867696343849,0.118263865549269,0.118263865549269,-6.08434794885916
"geminin",-0.769713833270488,3.83652340480514,-1.57853775732425,0.118295832566527,0.118295832566527,-6.08456286369687
"asrij",-0.75418380234694,6.10399320054612,-1.57627621428839,0.11881613626882,0.11881613626882,-6.08805187320276
"CG32668",-0.143839854091208,0.152888629358788,-1.57568691608106,0.118952013261342,0.118952013261342,-6.08896024370754
