"Gene","Mechanism","Factor"
"CG31286","Cis x Trans","Stage"
"inaF-D","Cis x Trans","Stage"
"CG10680","Cis x Trans","Stage"
"CG15578","Cis x Trans","Stage"
"CG33308","Cis x Trans","Stage"
"CG30432","Cis x Trans","Stage"
"CG42597","Cis x Trans","Stage"
"CG14644","Cis x Trans","Stage"
"CG30355","Cis x Trans","Stage"
"CG30008","Cis x Trans","Stage"
"CG13991","Cis x Trans","Stage"
"Pka-C2","Cis x Trans","Stage"
"Prtl99C","Cis x Trans","Stage"
"to","Cis x Trans","Stage"
"CG12493","Cis x Trans","Stage"
"CG3557","Cis x Trans","Stage"
"CG16837","Cis x Trans","Stage"
"CG31910","Cis x Trans","Stage"
"Rtnl2","Cis x Trans","Stage"
"CG13442","Cis x Trans","Stage"
"CG15661","Cis x Trans","Stage"
"gom","Cis x Trans","Stage"
"CG10919","Cis x Trans","Stage"
"CG16848","Cis x Trans","Stage"
"Porin2","Cis x Trans","Stage"
"CG14974","Cis x Trans","Stage"
"CG14258","Cis x Trans","Stage"
"retn","Cis x Trans","Stage"
"sc","Cis x Trans","Stage"
"CG15498","Cis x Trans","Stage"
"CG12126","Cis x Trans","Stage"
"CG32298","Cis x Trans","Stage"
"insb","Cis x Trans","Stage"
"CG14929","Cis x Trans","Stage"
"fln","Cis x Trans","Stage"
"ND-49L","Cis x Trans","Stage"
"CG12479","Cis x Trans","Stage"
"CG12782","Cis x Trans","Stage"
"CG17387","Cis x Trans","Stage"
"CG3323","Cis x Trans","Stage"
"CG18446","Cis x Trans","Stage"
"Ucp4B","Cis x Trans","Stage"
"GluRIIB","Cis x Trans","Stage"
"CG41106","Cis x Trans","Stage"
"Gad1","Cis x Trans","Stage"
"CG31773","Cis x Trans","Stage"
"CG15471","Cis x Trans","Stage"
"Ucp4C","Cis x Trans","Stage"
"nyo","Cis x Trans","Stage"
"CG12426","Cis x Trans","Stage"
"CG14658","Cis x Trans","Stage"
"CG31010","Cis x Trans","Stage"
"Dic3","Cis x Trans","Stage"
"CG15756","Cis x Trans","Stage"
"Acp1","Cis x Trans","Stage"
"CG13700","Cis x Trans","Stage"
"CG14488","Cis x Trans","Stage"
"CG2854","Cis x Trans","Stage"
"CG42369","Cis x Trans","Stage"
"CG1979","Cis x Trans","Stage"
"CG17739","Cis x Trans","Stage"
"CG32488","Cis x Trans","Stage"
"CG10839","Cis x Trans","Stage"
"CG14183","Cis x Trans","Stage"
"CG8349","Cis x Trans","Stage"
"Crtp","Cis x Trans","Stage"
"CG18404","Cis x Trans","Stage"
"spaw","Cis x Trans","Stage"
"Actn3","Cis x Trans","Stage"
"SPR","Cis x Trans","Stage"
"CG30101","Cis x Trans","Stage"
"regucalcin","Cis x Trans","Stage"
"CG9875","Cis x Trans","Stage"
