"Gene","Mechanism","Factor"
"Gasz","Cis x Trans","Stage"
"CG15233","Cis x Trans","Stage"
"CG8562","Cis x Trans","Stage"
"Ttd14","Cis x Trans","Stage"
"CG13198","Cis x Trans","Stage"
"CG15330","Cis x Trans","Stage"
"CG12200","Cis x Trans","Stage"
"CG14780","Cis x Trans","Stage"
"ham","Cis x Trans","Stage"
"CG16947","Cis x Trans","Stage"
"CG11236","Cis x Trans","Stage"
"Wnt4","Cis x Trans","Stage"
"CG12826","Cis x Trans","Stage"
"CG2678","Cis x Trans","Stage"
"RabX5","Cis x Trans","Stage"
"SLO2","Cis x Trans","Stage"
"CG12964","Cis x Trans","Stage"
"E(spl)m6-BFM","Cis x Trans","Stage"
"CG31099","Cis x Trans","Stage"
"Atg7","Cis x Trans","Stage"
"CG15472","Cis x Trans","Stage"
"inaF-A","Cis x Trans","Stage"
"CG34038","Cis x Trans","Stage"
"RpI135","Cis x Trans","Stage"
"Fife","Cis x Trans","Stage"
"Mhc","Cis x Trans","Stage"
"CG14247","Cis x Trans","Stage"
"CG18599","Cis x Trans","Stage"
"lectin-46Ca","Cis x Trans","Stage"
"CG42747","Cis x Trans","Stage"
"CG4627","Cis x Trans","Stage"
"iotaTry","Cis x Trans","Stage"
"robl62A","Cis x Trans","Stage"
"Gel","Cis x Trans","Stage"
"Syn2","Cis x Trans","Stage"
"fend","Cis x Trans","Stage"
"CG14971","Cis x Trans","Stage"
"ND-24","Cis x Trans","Stage"
"CG7173","Cis x Trans","Stage"
"Cht2","Cis x Trans","Stage"
"armi","Cis x Trans","Stage"
"SmydA-7","Cis x Trans","Stage"
"CG13392","Cis x Trans","Stage"
"CG33203","Cis x Trans","Stage"
"gammaTub37C","Cis x Trans","Stage"
"Ca-alpha1T","Cis x Trans","Stage"
"vri","Cis x Trans","Stage"
"CG9743","Cis x Trans","Stage"
"CG31204","Cis x Trans","Stage"
"cep290","Cis x Trans","Stage"
"CG1236","Cis x Trans","Stage"
"CG15549","Cis x Trans","Stage"
"Pvf2","Cis x Trans","Stage"
"CG43861","Cis x Trans","Stage"
"CG11920","Cis x Trans","Stage"
"CG43321","Cis x Trans","Stage"
"NimB4","Cis x Trans","Stage"
"CG14731","Cis x Trans","Stage"
"CG14527","Cis x Trans","Stage"
"CG17562","Cis x Trans","Stage"
"CG17287","Cis x Trans","Stage"
"CG4020","Cis x Trans","Stage"
"CG42700","Cis x Trans","Stage"
"CG7840","Cis x Trans","Stage"
"nopo","Cis x Trans","Stage"
"CG12911","Cis x Trans","Stage"
"polyph","Cis x Trans","Stage"
"ptc","Cis x Trans","Stage"
"CG9515","Cis x Trans","Stage"
"HLH54F","Cis x Trans","Stage"
"CG11050","Cis x Trans","Stage"
"Dnah3","Cis x Trans","Stage"
"tw","Cis x Trans","Stage"
"CG14291","Cis x Trans","Stage"
"Phk-3","Cis x Trans","Stage"
"CG9164","Cis x Trans","Stage"
"Syngr","Cis x Trans","Stage"
"ND-30","Cis x Trans","Stage"
"Npl4","Cis x Trans","Stage"
"CG1137","Cis x Trans","Stage"
"CG33223","Cis x Trans","Stage"
"CG9497","Cis x Trans","Stage"
"CG14262","Cis x Trans","Stage"
"CG14591","Cis x Trans","Stage"
"CG11000","Cis x Trans","Stage"
"CG10911","Cis x Trans","Stage"
"Act42A","Cis x Trans","Stage"
"SdhB","Cis x Trans","Stage"
"CG11756","Cis x Trans","Stage"
"CG9672","Cis x Trans","Stage"
"CG12535","Cis x Trans","Stage"
"CG6329","Cis x Trans","Stage"
"ey","Cis x Trans","Stage"
"RhoGAP100F","Cis x Trans","Stage"
"Twdlalpha","Cis x Trans","Stage"
"CG42342","Cis x Trans","Stage"
"CG1234","Cis x Trans","Stage"
"Antp","Cis x Trans","Stage"
"nAChRbeta1","Cis x Trans","Stage"
"Abd-B","Cis x Trans","Stage"
"CG42537","Cis x Trans","Stage"
"CG3902","Cis x Trans","Stage"
"CG30091","Cis x Trans","Stage"
"CG13771","Cis x Trans","Stage"
"ND-B14.7","Cis x Trans","Stage"
"Ptpmeg2","Cis x Trans","Stage"
"CG4766","Cis x Trans","Stage"
"CG10405","Cis x Trans","Stage"
"CG14100","Cis x Trans","Stage"
"AGBE","Cis x Trans","Stage"
"Rbp9","Cis x Trans","Stage"
"dpr18","Cis x Trans","Stage"
"CG33177","Cis x Trans","Stage"
"CG10853","Cis x Trans","Stage"
"CG32237","Cis x Trans","Stage"
"CG3700","Cis x Trans","Stage"
"tyf","Cis x Trans","Stage"
"CG5973","Cis x Trans","Stage"
"CG12909","Cis x Trans","Stage"
"CG11155","Cis x Trans","Stage"
"CG4908","Cis x Trans","Stage"
"CG13288","Cis x Trans","Stage"
"CG9961","Cis x Trans","Stage"
"gd","Cis x Trans","Stage"
"CG16986","Cis x Trans","Stage"
"CG11655","Cis x Trans","Stage"
"CG7300","Cis x Trans","Stage"
"CG17147","Cis x Trans","Stage"
"ovo","Cis x Trans","Stage"
"abd-A","Cis x Trans","Stage"
"rgr","Cis x Trans","Stage"
"spag4","Cis x Trans","Stage"
"CG12766","Cis x Trans","Stage"
"C15","Cis x Trans","Stage"
"Cad96Ca","Cis x Trans","Stage"
"CG13868","Cis x Trans","Stage"
"dan","Cis x Trans","Stage"
"CG1461","Cis x Trans","Stage"
"CG2010","Cis x Trans","Stage"
"CG9650","Cis x Trans","Stage"
"MYPT-75D","Cis x Trans","Stage"
"CG13148","Cis x Trans","Stage"
"CG42613","Cis x Trans","Stage"
"CG17127","Cis x Trans","Stage"
"PH4alphaSG2","Cis x Trans","Stage"
"CG7142","Cis x Trans","Stage"
"CG13551","Cis x Trans","Stage"
"ND-ACP","Cis x Trans","Stage"
"CG4949","Cis x Trans","Stage"
"ND-ASHI","Cis x Trans","Stage"
"CG15208","Cis x Trans","Stage"
"CG33159","Cis x Trans","Stage"
"AcCoAS","Cis x Trans","Stage"
"CG15227","Cis x Trans","Stage"
"CG13806","Cis x Trans","Stage"
"CG3347","Cis x Trans","Stage"
"Fas3","Cis x Trans","Stage"
"ND-39","Cis x Trans","Stage"
"CG13131","Cis x Trans","Stage"
"Tom40","Cis x Trans","Stage"
"GstE14","Cis x Trans","Stage"
"CG30058","Cis x Trans","Stage"
"CG9940","Cis x Trans","Stage"
"mtDNA-helicase","Cis x Trans","Stage"
"grim","Cis x Trans","Stage"
"CG13203","Cis x Trans","Stage"
"Galphaq","Cis x Trans","Stage"
"CG11180","Cis x Trans","Stage"
"sif","Cis x Trans","Stage"
"ND-B15","Cis x Trans","Stage"
"CG12923","Cis x Trans","Stage"
"CG2875","Cis x Trans","Stage"
"MESR6","Cis x Trans","Stage"
"Sply","Cis x Trans","Stage"
"Rab9Db","Cis x Trans","Stage"
"ND-20","Cis x Trans","Stage"
"Prx3","Cis x Trans","Stage"
"salr","Cis x Trans","Stage"
"CG11629","Cis x Trans","Stage"
"CG8596","Cis x Trans","Stage"
"CG3223","Cis x Trans","Stage"
"bora","Cis x Trans","Stage"
"CG42823","Cis x Trans","Stage"
"CG14659","Cis x Trans","Stage"
"unc-5","Cis x Trans","Stage"
"Sod2","Cis x Trans","Stage"
"Zasp52","Cis x Trans","Stage"
"CG32241","Cis x Trans","Stage"
"tfc","Cis x Trans","Stage"
"CG16984","Cis x Trans","Stage"
"Hr4","Cis x Trans","Stage"
"CG11980","Cis x Trans","Stage"
"Osi8","Cis x Trans","Stage"
"Pcp","Cis x Trans","Stage"
"Cyt-c-p","Cis x Trans","Stage"
"Ac3","Cis x Trans","Stage"
"CG13692","Cis x Trans","Stage"
"CG31279","Cis x Trans","Stage"
"CG18367","Cis x Trans","Stage"
"CG5693","Cis x Trans","Stage"
"CG5162","Cis x Trans","Stage"
"PPO2","Cis x Trans","Stage"
"CG6073","Cis x Trans","Stage"
"CG15269","Cis x Trans","Stage"
"scb","Cis x Trans","Stage"
"CG3430","Cis x Trans","Stage"
"CG15080","Cis x Trans","Stage"
"CG12206","Cis x Trans","Stage"
"spidey","Cis x Trans","Stage"
"stc","Cis x Trans","Stage"
"Proc-R","Cis x Trans","Stage"
"l(1)1Bi","Cis x Trans","Stage"
"CG14346","Cis x Trans","Stage"
"bsf","Cis x Trans","Stage"
"Karl","Cis x Trans","Stage"
"CG12716","Cis x Trans","Stage"
"CG13005","Cis x Trans","Stage"
"gsb-n","Cis x Trans","Stage"
"CG17648","Cis x Trans","Stage"
"Best2","Cis x Trans","Stage"
"CG5549","Cis x Trans","Stage"
"CG14495","Cis x Trans","Stage"
"CG4096","Cis x Trans","Stage"
"Elba3","Cis x Trans","Stage"
"wal","Cis x Trans","Stage"
"Smvt","Cis x Trans","Stage"
"fj","Cis x Trans","Stage"
"CG7384","Cis x Trans","Stage"
"yem","Cis x Trans","Stage"
"CG17896","Cis x Trans","Stage"
"slbo","Cis x Trans","Stage"
"Hydr1","Cis x Trans","Stage"
"AstCC","Cis x Trans","Stage"
"ATPsynG","Cis x Trans","Stage"
"Nlg3","Cis x Trans","Stage"
"CG34433","Cis x Trans","Stage"
"CG15543","Cis x Trans","Stage"
"MFS3","Cis x Trans","Stage"
"sano","Cis x Trans","Stage"
"Gli","Cis x Trans","Stage"
"dila","Cis x Trans","Stage"
"CG7798","Cis x Trans","Stage"
"CG30427","Cis x Trans","Stage"
"CG18585","Cis x Trans","Stage"
"He","Cis x Trans","Stage"
"Teh3","Cis x Trans","Stage"
"CG42817","Cis x Trans","Stage"
"CG9541","Cis x Trans","Stage"
"Ca-beta","Cis x Trans","Stage"
"CG8093","Cis x Trans","Stage"
"Tob","Cis x Trans","Stage"
"Nna1","Cis x Trans","Stage"
"SmydA-6","Cis x Trans","Stage"
"CG5402","Cis x Trans","Stage"
"ATPsyndelta","Cis x Trans","Stage"
"CG43136","Cis x Trans","Stage"
"CG3788","Cis x Trans","Stage"
"CG3812","Cis x Trans","Stage"
"G6P","Cis x Trans","Stage"
"Zip42C.2","Cis x Trans","Stage"
"zen","Cis x Trans","Stage"
"Ssdp","Cis x Trans","Stage"
"CG33791","Cis x Trans","Stage"
"Oli","Cis x Trans","Stage"
"CG2767","Cis x Trans","Stage"
"Rx","Cis x Trans","Stage"
"CG6048","Cis x Trans","Stage"
"LpR2","Cis x Trans","Stage"
"bw","Cis x Trans","Stage"
"CG6154","Cis x Trans","Stage"
"cal1","Cis x Trans","Stage"
"Chd3","Cis x Trans","Stage"
"Cpr50Cb","Cis x Trans","Stage"
"CG18558","Cis x Trans","Stage"
"CG12974","Cis x Trans","Stage"
"CG6836","Cis x Trans","Stage"
"CG43902","Cis x Trans","Stage"
"CG11475","Cis x Trans","Stage"
"CG4433","Cis x Trans","Stage"
"krz","Cis x Trans","Stage"
"CG30187","Cis x Trans","Stage"
"CG11077","Cis x Trans","Stage"
"CG11836","Cis x Trans","Stage"
"CG8673","Cis x Trans","Stage"
"CG13894","Cis x Trans","Stage"
"CG11257","Cis x Trans","Stage"
"CG11345","Cis x Trans","Stage"
"CG14770","Cis x Trans","Stage"
"Sidpn","Cis x Trans","Stage"
"CG11816","Cis x Trans","Stage"
"prage","Cis x Trans","Stage"
"CG13887","Cis x Trans","Stage"
"CG5955","Cis x Trans","Stage"
"CG14050","Cis x Trans","Stage"
"COX5B","Cis x Trans","Stage"
"Gyc76C","Cis x Trans","Stage"
"in","Cis x Trans","Stage"
"yellow-c","Cis x Trans","Stage"
"Hrs","Cis x Trans","Stage"
"CG31974","Cis x Trans","Stage"
"CG13743","Cis x Trans","Stage"
"ND-19","Cis x Trans","Stage"
"CG2201","Cis x Trans","Stage"
"CG3267","Cis x Trans","Stage"
"CG14506","Cis x Trans","Stage"
"ox","Cis x Trans","Stage"
"Pxd","Cis x Trans","Stage"
"temp","Cis x Trans","Stage"
"elav","Cis x Trans","Stage"
"Tbh","Cis x Trans","Stage"
"CG15263","Cis x Trans","Stage"
"RpI1","Cis x Trans","Stage"
"squ","Cis x Trans","Stage"
"CG7785","Cis x Trans","Stage"
"CG7708","Cis x Trans","Stage"
"CG30345","Cis x Trans","Stage"
"metro","Cis x Trans","Stage"
"Treh","Cis x Trans","Stage"
"CG9510","Cis x Trans","Stage"
"wapl","Cis x Trans","Stage"
"Cyp6w1","Cis x Trans","Stage"
"CG1124","Cis x Trans","Stage"
"CG34351","Cis x Trans","Stage"
"AhcyL2","Cis x Trans","Stage"
"mod","Cis x Trans","Stage"
"cib","Cis x Trans","Stage"
"CG6978","Cis x Trans","Stage"
"CG4587","Cis x Trans","Stage"
"wtrw","Cis x Trans","Stage"
"rtv","Cis x Trans","Stage"
"CG13082","Cis x Trans","Stage"
"CG15754","Cis x Trans","Stage"
"CG12105","Cis x Trans","Stage"
"Spn42Dc","Cis x Trans","Stage"
"CG17683","Cis x Trans","Stage"
"lft","Cis x Trans","Stage"
"CG17261","Cis x Trans","Stage"
"TyrRS-m","Cis x Trans","Stage"
"Sp1","Cis x Trans","Stage"
"CG10560","Cis x Trans","Stage"
"mRpL23","Cis x Trans","Stage"
"CG9143","Cis x Trans","Stage"
"PGRP-SC1a","Cis x Trans","Stage"
"CG31636","Cis x Trans","Stage"
"Myc","Cis x Trans","Stage"
"Gr5a","Cis x Trans","Stage"
"rst","Cis x Trans","Stage"
"CG13538","Cis x Trans","Stage"
"Txl","Cis x Trans","Stage"
"CG6508","Cis x Trans","Stage"
"CG7968","Cis x Trans","Stage"
"CG14610","Cis x Trans","Stage"
"CG11294","Cis x Trans","Stage"
"CG31266","Cis x Trans","Stage"
"rpr","Cis x Trans","Stage"
"slp1","Cis x Trans","Stage"
"CG18171","Cis x Trans","Stage"
"CG4302","Cis x Trans","Stage"
"CG13427","Cis x Trans","Stage"
"CG33673","Cis x Trans","Stage"
"SA-2","Cis x Trans","Stage"
"CG15239","Cis x Trans","Stage"
"CG13217","Cis x Trans","Stage"
"CG4822","Cis x Trans","Stage"
"CG10479","Cis x Trans","Stage"
"CG30457","Cis x Trans","Stage"
"ATPsynF","Cis x Trans","Stage"
"CG13097","Cis x Trans","Stage"
"Dpy-30L2","Cis x Trans","Stage"
"Eaat1","Cis x Trans","Stage"
"QC","Cis x Trans","Stage"
"su(r)","Cis x Trans","Stage"
"TwdlE","Cis x Trans","Stage"
"r","Cis x Trans","Stage"
"Ptp52F","Cis x Trans","Stage"
"mRpS16","Cis x Trans","Stage"
"CG9657","Cis x Trans","Stage"
"ND-PDSW","Cis x Trans","Stage"
"CG30344","Cis x Trans","Stage"
"Rcc1","Cis x Trans","Stage"
"kz","Cis x Trans","Stage"
"cer","Cis x Trans","Stage"
"fz2","Cis x Trans","Stage"
"CG15202","Cis x Trans","Stage"
"Or22a","Cis x Trans","Stage"
"CG14186","Cis x Trans","Stage"
"Efr","Cis x Trans","Stage"
"CG31663","Cis x Trans","Stage"
"CG8520","Cis x Trans","Stage"
"CG12692","Cis x Trans","Stage"
"CG15036","Cis x Trans","Stage"
"CG18598","Cis x Trans","Stage"
"CG31089","Cis x Trans","Stage"
"ND-B17.2","Cis x Trans","Stage"
"Sid","Cis x Trans","Stage"
"stl","Cis x Trans","Stage"
"Alp4","Cis x Trans","Stage"
"CG12896","Cis x Trans","Stage"
"Reph","Cis x Trans","Stage"
"CG31740","Cis x Trans","Stage"
"Orc1","Cis x Trans","Stage"
"Fur2","Cis x Trans","Stage"
"levy","Cis x Trans","Stage"
"Spn42Da","Cis x Trans","Stage"
"pes","Cis x Trans","Stage"
"CG3775","Cis x Trans","Stage"
"CG14566","Cis x Trans","Stage"
"CG32225","Cis x Trans","Stage"
"CG42249","Cis x Trans","Stage"
"CG4951","Cis x Trans","Stage"
"CG8475","Cis x Trans","Stage"
"CG14455","Cis x Trans","Stage"
"CG9733","Cis x Trans","Stage"
"crm","Cis x Trans","Stage"
"CG14302","Cis x Trans","Stage"
"CG14628","Cis x Trans","Stage"
"Cyt-b5-r","Cis x Trans","Stage"
"l(3)02640","Cis x Trans","Stage"
"CG8586","Cis x Trans","Stage"
"Mctp","Cis x Trans","Stage"
"CG13137","Cis x Trans","Stage"
"CG3376","Cis x Trans","Stage"
"CG43325","Cis x Trans","Stage"
"Caf1-180","Cis x Trans","Stage"
"CG18258","Cis x Trans","Stage"
"CG32812","Cis x Trans","Stage"
"lbm","Cis x Trans","Stage"
"CG13223","Cis x Trans","Stage"
"CG4806","Cis x Trans","Stage"
"Cpr57A","Cis x Trans","Stage"
"dy","Cis x Trans","Stage"
"CG32801","Cis x Trans","Stage"
"betaNACtes6","Cis x Trans","Stage"
"NimC1","Cis x Trans","Stage"
"hui","Cis x Trans","Stage"
"CG4318","Cis x Trans","Stage"
"fne","Cis x Trans","Stage"
"verm","Cis x Trans","Stage"
"CG4409","Cis x Trans","Stage"
"B-H2","Cis x Trans","Stage"
"mahe","Cis x Trans","Stage"
"CG42813","Cis x Trans","Stage"
"CG34184","Cis x Trans","Stage"
"CG8419","Cis x Trans","Stage"
"Tbp","Cis x Trans","Stage"
"CG5890","Cis x Trans","Stage"
"Syt12","Cis x Trans","Stage"
"CG17707","Cis x Trans","Stage"
"CG12991","Cis x Trans","Stage"
"tll","Cis x Trans","Stage"
"Lkr","Cis x Trans","Stage"
"CG32982","Cis x Trans","Stage"
"CG30394","Cis x Trans","Stage"
"CG11474","Cis x Trans","Stage"
"CG10804","Cis x Trans","Stage"
"inaF-B","Cis x Trans","Stage"
"Nsun2","Cis x Trans","Stage"
"CG31751","Cis x Trans","Stage"
"CG11380","Cis x Trans","Stage"
"CG11617","Cis x Trans","Stage"
"CG18600","Cis x Trans","Stage"
"CG7920","Cis x Trans","Stage"
"CG32344","Cis x Trans","Stage"
"CG9689","Cis x Trans","Stage"
"CG13658","Cis x Trans","Stage"
"ebd1","Cis x Trans","Stage"
"ko","Cis x Trans","Stage"
"Cht9","Cis x Trans","Stage"
"Idgf3","Cis x Trans","Stage"
"bin3","Cis x Trans","Stage"
"CG5204","Cis x Trans","Stage"
"Hey","Cis x Trans","Stage"
"CG10494","Cis x Trans","Stage"
"E(spl)mbeta-HLH","Cis x Trans","Stage"
"Cht4","Cis x Trans","Stage"
"CG18268","Cis x Trans","Stage"
"CG31815","Cis x Trans","Stage"
"CG14509","Cis x Trans","Stage"
"LeuRS","Cis x Trans","Stage"
"CG7691","Cis x Trans","Stage"
"CG8611","Cis x Trans","Stage"
"CG12590","Cis x Trans","Stage"
"PGRP-SD","Cis x Trans","Stage"
"ine","Cis x Trans","Stage"
"CG11752","Cis x Trans","Stage"
"Dsk","Cis x Trans","Stage"
"MRP","Cis x Trans","Stage"
"gsb","Cis x Trans","Stage"
"CG10737","Cis x Trans","Stage"
"ETHR","Cis x Trans","Stage"
"CG5863","Cis x Trans","Stage"
"CG10505","Cis x Trans","Stage"
"Claspin","Cis x Trans","Stage"
"CG16704","Cis x Trans","Stage"
"Tengl2","Cis x Trans","Stage"
"dtn","Cis x Trans","Stage"
"CG18472","Cis x Trans","Stage"
"Kif3C","Cis x Trans","Stage"
"CG31778","Cis x Trans","Stage"
"CG7639","Cis x Trans","Stage"
"CG8407","Cis x Trans","Stage"
"CG31805","Cis x Trans","Stage"
"DIP-zeta","Cis x Trans","Stage"
"mahj","Cis x Trans","Stage"
"prtp","Cis x Trans","Stage"
"CG7881","Cis x Trans","Stage"
"CG5458","Cis x Trans","Stage"
"CG7102","Cis x Trans","Stage"
"CG4679","Cis x Trans","Stage"
"Nplp1","Cis x Trans","Stage"
"CG33306","Cis x Trans","Stage"
"Kul","Cis x Trans","Stage"
"CG8851","Cis x Trans","Stage"
"CG34284","Cis x Trans","Stage"
"CG10958","Cis x Trans","Stage"
"Duox","Cis x Trans","Stage"
"CG11596","Cis x Trans","Stage"
"CG32988","Cis x Trans","Stage"
"IM33","Cis x Trans","Stage"
"CG11837","Cis x Trans","Stage"
"Snx1","Cis x Trans","Stage"
"CG42615","Cis x Trans","Stage"
"CG2199","Cis x Trans","Stage"
"CG5323","Cis x Trans","Stage"
"gwl","Cis x Trans","Stage"
"gcl","Cis x Trans","Stage"
"Drep1","Cis x Trans","Stage"
"Reg-5","Cis x Trans","Stage"
"CG9150","Cis x Trans","Stage"
"CG31551","Cis x Trans","Stage"
"miple2","Cis x Trans","Stage"
"l(1)G0045","Cis x Trans","Stage"
"TpnC25D","Cis x Trans","Stage"
"cato","Cis x Trans","Stage"
"stil","Cis x Trans","Stage"
"Npc2c","Cis x Trans","Stage"
"Rab9","Cis x Trans","Stage"
"roh","Cis x Trans","Stage"
"CG14893","Cis x Trans","Stage"
"TwdlL","Cis x Trans","Stage"
"Cpr11A","Cis x Trans","Stage"
"RnrL","Cis x Trans","Stage"
"CG17169","Cis x Trans","Stage"
"nAChRalpha5","Cis x Trans","Stage"
"cathD","Cis x Trans","Stage"
"CG5285","Cis x Trans","Stage"
"CG8654","Cis x Trans","Stage"
"CG13748","Cis x Trans","Stage"
"CG8064","Cis x Trans","Stage"
"CG18213","Cis x Trans","Stage"
"CG13558","Cis x Trans","Stage"
"Nurf-38","Cis x Trans","Stage"
"CG11192","Cis x Trans","Stage"
"CG9231","Cis x Trans","Stage"
"CG15630","Cis x Trans","Stage"
"Osi14","Cis x Trans","Stage"
"CG17906","Cis x Trans","Stage"
"Tet","Cis x Trans","Stage"
"PVRAP","Cis x Trans","Stage"
"slmo","Cis x Trans","Stage"
"wry","Cis x Trans","Stage"
"CG3264","Cis x Trans","Stage"
"AstA-R2","Cis x Trans","Stage"
"futsch","Cis x Trans","Stage"
"l(1)G0196","Cis x Trans","Stage"
"CG32313","Cis x Trans","Stage"
"GNBP1","Cis x Trans","Stage"
"Rs1","Cis x Trans","Stage"
"CG7702","Cis x Trans","Stage"
"CG32320","Cis x Trans","Stage"
"Gnf1","Cis x Trans","Stage"
"CG8939","Cis x Trans","Stage"
"Lrpprc2","Cis x Trans","Stage"
"CG34393","Cis x Trans","Stage"
"Eip55E","Cis x Trans","Stage"
"ZnT35C","Cis x Trans","Stage"
"CG5002","Cis x Trans","Stage"
"CG8414","Cis x Trans","Stage"
"EndoGI","Cis x Trans","Stage"
"ZnT63C","Cis x Trans","Stage"
"CG43102","Cis x Trans","Stage"
"Ets65A","Cis x Trans","Stage"
"Cpr49Ag","Cis x Trans","Stage"
"CG3513","Cis x Trans","Stage"
"Ice1","Cis x Trans","Stage"
"net","Cis x Trans","Stage"
"lectin-37Db","Cis x Trans","Stage"
"Ctf4","Cis x Trans","Stage"
"ND-B16.6","Cis x Trans","Stage"
"Lcp65Ab2","Cis x Trans","Stage"
"CG13594","Cis x Trans","Stage"
"Lrt","Cis x Trans","Stage"
"CG18673","Cis x Trans","Stage"
"plx","Cis x Trans","Stage"
"CG30428","Cis x Trans","Stage"
"CG15221","Cis x Trans","Stage"
"Tsp47F","Cis x Trans","Stage"
"l(3)07882","Cis x Trans","Stage"
"Oat","Cis x Trans","Stage"
"CG8485","Cis x Trans","Stage"
"eater","Cis x Trans","Stage"
"CG2887","Cis x Trans","Stage"
"Miga","Cis x Trans","Stage"
"Ir76b","Cis x Trans","Stage"
"lbl","Cis x Trans","Stage"
"Tom20","Cis x Trans","Stage"
"CG14834","Cis x Trans","Stage"
"CG34026","Cis x Trans","Stage"
"CG14615","Cis x Trans","Stage"
"CG9993","Cis x Trans","Stage"
"ex","Cis x Trans","Stage"
"Traf4","Cis x Trans","Stage"
"Spp","Cis x Trans","Stage"
"Eno","Cis x Trans","Stage"
"Pof","Cis x Trans","Stage"
"CG3777","Cis x Trans","Stage"
"PhKgamma","Cis x Trans","Stage"
"hubl","Cis x Trans","Stage"
"CG34291","Cis x Trans","Stage"
"CG31807","Cis x Trans","Stage"
"Rh50","Cis x Trans","Stage"
"CG18095","Cis x Trans","Stage"
"Osi1","Cis x Trans","Stage"
"CG30440","Cis x Trans","Stage"
"CG5687","Cis x Trans","Stage"
"CG15390","Cis x Trans","Stage"
"CG15169","Cis x Trans","Stage"
"Set2","Cis x Trans","Stage"
"CG4563","Cis x Trans","Stage"
"Or9a","Cis x Trans","Stage"
"CG14406","Cis x Trans","Stage"
"CG32845","Cis x Trans","Stage"
"CG12177","Cis x Trans","Stage"
"Ance","Cis x Trans","Stage"
"CG1103","Cis x Trans","Stage"
"CG7025","Cis x Trans","Stage"
"CycE","Cis x Trans","Stage"
"mei-P26","Cis x Trans","Stage"
"CG12682","Cis x Trans","Stage"
"CG43366","Cis x Trans","Stage"
"CG9812","Cis x Trans","Stage"
"CG15706","Cis x Trans","Stage"
"CG40813","Cis x Trans","Stage"
"CG14607","Cis x Trans","Stage"
"l(2)09851","Cis x Trans","Stage"
"CG17802","Cis x Trans","Stage"
"CG4960","Cis x Trans","Stage"
"CtsB1","Cis x Trans","Stage"
"CG31235","Cis x Trans","Stage"
"CG8321","Cis x Trans","Stage"
"CG15546","Cis x Trans","Stage"
"CG10384","Cis x Trans","Stage"
"Mcm6","Cis x Trans","Stage"
"CG10341","Cis x Trans","Stage"
"wcd","Cis x Trans","Stage"
"l(2)k10201","Cis x Trans","Stage"
"dany","Cis x Trans","Stage"
"CG30158","Cis x Trans","Stage"
"nSyb","Cis x Trans","Stage"
"P5cr-2","Cis x Trans","Stage"
"CG32409","Cis x Trans","Stage"
"CG14072","Cis x Trans","Stage"
"Sfp53D","Cis x Trans","Stage"
"otp","Cis x Trans","Stage"
"MsR1","Cis x Trans","Stage"
"Usp10","Cis x Trans","Stage"
"Shawl","Cis x Trans","Stage"
"CG14102","Cis x Trans","Stage"
"CG10996","Cis x Trans","Stage"
"edl","Cis x Trans","Stage"
"CG1542","Cis x Trans","Stage"
"CG2993","Cis x Trans","Stage"
"CG15096","Cis x Trans","Stage"
"halo","Cis x Trans","Stage"
"l(1)sc","Cis x Trans","Stage"
"Ag5r2","Cis x Trans","Stage"
"CG30037","Cis x Trans","Stage"
"CG33557","Cis x Trans","Stage"
"CG31731","Cis x Trans","Stage"
"CG11583","Cis x Trans","Stage"
"CG11584","Cis x Trans","Stage"
"CG11880","Cis x Trans","Stage"
"CG12325","Cis x Trans","Stage"
"CG15892","Cis x Trans","Stage"
"CG15649","Cis x Trans","Stage"
"Pburs","Cis x Trans","Stage"
"Atg9","Cis x Trans","Stage"
"CG9300","Cis x Trans","Stage"
"melt","Cis x Trans","Stage"
"CG13133","Cis x Trans","Stage"
"CG18870","Cis x Trans","Stage"
"CG34056","Cis x Trans","Stage"
"G9a","Cis x Trans","Stage"
"CG17829","Cis x Trans","Stage"
"CG31975","Cis x Trans","Stage"
"dmrt99B","Cis x Trans","Stage"
"NetB","Cis x Trans","Stage"
"CG2217","Cis x Trans","Stage"
"SP555","Cis x Trans","Stage"
"fd64A","Cis x Trans","Stage"
"robo1","Cis x Trans","Stage"
"CG1638","Cis x Trans","Stage"
"CG1090","Cis x Trans","Stage"
"CG10000","Cis x Trans","Stage"
"CG10463","Cis x Trans","Stage"
"cola","Cis x Trans","Stage"
"Vha44","Cis x Trans","Stage"
"scw","Cis x Trans","Stage"
"CG4497","Cis x Trans","Stage"
"CG1239","Cis x Trans","Stage"
"CG9962","Cis x Trans","Stage"
"Ahcy","Cis x Trans","Stage"
"GstE10","Cis x Trans","Stage"
"CG4259","Cis x Trans","Stage"
"CG6324","Cis x Trans","Stage"
"yuri","Cis x Trans","Stage"
"Grip71","Cis x Trans","Stage"
"CG31643","Cis x Trans","Stage"
"CG10592","Cis x Trans","Stage"
"CG18469","Cis x Trans","Stage"
"CG30116","Cis x Trans","Stage"
"CG14317","Cis x Trans","Stage"
"CG30495","Cis x Trans","Stage"
"porin","Cis x Trans","Stage"
"CG14606","Cis x Trans","Stage"
"dsb","Cis x Trans","Stage"
"spz3","Cis x Trans","Stage"
"dup","Cis x Trans","Stage"
"CG5707","Cis x Trans","Stage"
"CG7329","Cis x Trans","Stage"
"stas","Cis x Trans","Stage"
"DNA-ligI","Cis x Trans","Stage"
"GABA-B-R1","Cis x Trans","Stage"
